etudeNumero,Echantillon Numero,Espece,Ile,ID Individu,Longueur Bec (mm),Hauteur Bec (mm),Longueur Aile (mm),Masse corporelle (g)
PAL0708,1,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A1,39.1,18.7,181,3750
PAL0708,2,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A2,39.5,17.4,186,3800
PAL0708,3,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A1,40.3,18,195,3250
PAL0708,4,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A2,NA,NA,NA,NA
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A1,36.7,19.3,193,3450
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A2,39.3,20.6,190,3650
PAL0708,7,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A1,38.9,17.8,181,3625
PAL0708,8,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A2,39.2,19.6,195,4675
PAL0708,9,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A1,34.1,18.1,193,3475
PAL0708,10,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A2,42,20.2,190,4250
PAL0708,11,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A1,37.8,17.1,186,3300
PAL0708,12,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A2,37.8,17.3,180,3700
PAL0708,13,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A1,41.1,17.6,182,3200
PAL0708,14,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A2,38.6,21.2,191,3800
PAL0708,15,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A1,34.6,21.1,198,4400
PAL0708,16,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A2,36.6,17.8,185,3700
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A1,38.7,19,195,3450
PAL0708,18,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A2,42.5,20.7,197,4500
PAL0708,19,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A1,34.4,18.4,184,3325
PAL0708,20,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A2,46,21.5,194,4200
PAL0708,21,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A1,37.8,18.3,174,3400
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A2,37.7,18.7,180,3600
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A1,35.9,19.2,189,3800
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A2,38.2,18.1,185,3950
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A1,38.8,17.2,180,3800
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A2,35.3,18.9,187,3800
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A1,40.6,18.6,183,3550
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A2,40.5,17.9,187,3200
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A1,37.9,18.6,172,3150
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A2,40.5,18.9,180,3950
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Dream,N21A1,39.5,16.7,178,3250
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Dream,N21A2,37.2,18.1,178,3900
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Dream,N22A1,39.5,17.8,188,3300
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Dream,N22A2,40.9,18.9,184,3900
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Dream,N23A1,36.4,17,195,3325
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Dream,N23A2,39.2,21.1,196,4150
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Dream,N24A1,38.8,20,190,3950
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Dream,N24A2,42.2,18.5,180,3550
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Dream,N25A1,37.6,19.3,181,3300
PAL0708,40,Adelie Penguin (Pygoscelis adeliae),Dream,N25A2,39.8,19.1,184,4650
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Dream,N26A1,36.5,18,182,3150
PAL0708,42,Adelie Penguin (Pygoscelis adeliae),Dream,N26A2,40.8,18.4,195,3900
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Dream,N27A1,36,18.5,186,3100
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Dream,N27A2,44.1,19.7,196,4400
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Dream,N28A1,37,16.9,185,3000
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Dream,N28A2,39.6,18.8,190,4600
PAL0708,47,Adelie Penguin (Pygoscelis adeliae),Dream,N29A1,41.1,19,182,3425
PAL0708,48,Adelie Penguin (Pygoscelis adeliae),Dream,N29A2,37.5,18.9,179,2975
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Dream,N30A1,36,17.9,190,3450
PAL0708,50,Adelie Penguin (Pygoscelis adeliae),Dream,N30A2,42.3,21.2,191,4150
PAL0809,51,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A1,39.6,17.7,186,3500
PAL0809,52,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A2,40.1,18.9,188,4300
PAL0809,53,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A1,35,17.9,190,3450
PAL0809,54,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A2,42,19.5,200,4050
PAL0809,55,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A1,34.5,18.1,187,2900
PAL0809,56,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A2,41.4,18.6,191,3700
PAL0809,57,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A1,39,17.5,186,3550
PAL0809,58,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A2,40.6,18.8,193,3800
PAL0809,59,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A1,36.5,16.6,181,2850
PAL0809,60,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A2,37.6,19.1,194,3750
PAL0809,61,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A1,35.7,16.9,185,3150
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A2,41.3,21.1,195,4400
PAL0809,63,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A1,37.6,17,185,3600
PAL0809,64,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A2,41.1,18.2,192,4050
PAL0809,65,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A1,36.4,17.1,184,2850
PAL0809,66,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A2,41.6,18,192,3950
PAL0809,67,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A1,35.5,16.2,195,3350
PAL0809,68,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A2,41.1,19.1,188,4100
PAL0809,69,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A1,35.9,16.6,190,3050
PAL0809,70,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A2,41.8,19.4,198,4450
PAL0809,71,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A1,33.5,19,190,3600
PAL0809,72,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A2,39.7,18.4,190,3900
PAL0809,73,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A1,39.6,17.2,196,3550
PAL0809,74,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A2,45.8,18.9,197,4150
PAL0809,75,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A1,35.5,17.5,190,3700
PAL0809,76,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A2,42.8,18.5,195,4250
PAL0809,77,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A1,40.9,16.8,191,3700
PAL0809,78,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A2,37.2,19.4,184,3900
PAL0809,79,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A1,36.2,16.1,187,3550
PAL0809,80,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A2,42.1,19.1,195,4000
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A1,34.6,17.2,189,3200
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A2,42.9,17.6,196,4700
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A1,36.7,18.8,187,3800
PAL0809,84,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A2,35.1,19.4,193,4200
PAL0809,85,Adelie Penguin (Pygoscelis adeliae),Dream,N41A1,37.3,17.8,191,3350
PAL0809,86,Adelie Penguin (Pygoscelis adeliae),Dream,N41A2,41.3,20.3,194,3550
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Dream,N42A1,36.3,19.5,190,3800
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Dream,N42A2,36.9,18.6,189,3500
PAL0809,89,Adelie Penguin (Pygoscelis adeliae),Dream,N44A1,38.3,19.2,189,3950
PAL0809,90,Adelie Penguin (Pygoscelis adeliae),Dream,N44A2,38.9,18.8,190,3600
PAL0809,91,Adelie Penguin (Pygoscelis adeliae),Dream,N45A1,35.7,18,202,3550
PAL0809,92,Adelie Penguin (Pygoscelis adeliae),Dream,N45A2,41.1,18.1,205,4300
PAL0809,93,Adelie Penguin (Pygoscelis adeliae),Dream,N46A1,34,17.1,185,3400
PAL0809,94,Adelie Penguin (Pygoscelis adeliae),Dream,N46A2,39.6,18.1,186,4450
PAL0809,95,Adelie Penguin (Pygoscelis adeliae),Dream,N48A1,36.2,17.3,187,3300
PAL0809,96,Adelie Penguin (Pygoscelis adeliae),Dream,N48A2,40.8,18.9,208,4300
PAL0809,97,Adelie Penguin (Pygoscelis adeliae),Dream,N49A1,38.1,18.6,190,3700
PAL0809,98,Adelie Penguin (Pygoscelis adeliae),Dream,N49A2,40.3,18.5,196,4350
PAL0809,99,Adelie Penguin (Pygoscelis adeliae),Dream,N50A1,33.1,16.1,178,2900
PAL0809,100,Adelie Penguin (Pygoscelis adeliae),Dream,N50A2,43.2,18.5,192,4100
PAL0910,101,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A1,35,17.9,192,3725
PAL0910,102,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A2,41,20,203,4725
PAL0910,103,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A1,37.7,16,183,3075
PAL0910,104,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A2,37.8,20,190,4250
PAL0910,105,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A1,37.9,18.6,193,2925
PAL0910,106,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A2,39.7,18.9,184,3550
PAL0910,107,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A1,38.6,17.2,199,3750
PAL0910,108,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A2,38.2,20,190,3900
PAL0910,109,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A1,38.1,17,181,3175
PAL0910,110,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A2,43.2,19,197,4775
PAL0910,111,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A1,38.1,16.5,198,3825
PAL0910,112,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A2,45.6,20.3,191,4600
PAL0910,113,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A1,39.7,17.7,193,3200
PAL0910,114,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A2,42.2,19.5,197,4275
PAL0910,115,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A1,39.6,20.7,191,3900
PAL0910,116,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A2,42.7,18.3,196,4075
PAL0910,117,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A1,38.6,17,188,2900
PAL0910,118,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A2,37.3,20.5,199,3775
PAL0910,119,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A1,35.7,17,189,3350
PAL0910,120,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A2,41.1,18.6,189,3325
PAL0910,121,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A1,36.2,17.2,187,3150
PAL0910,122,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A2,37.7,19.8,198,3500
PAL0910,123,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A1,40.2,17,176,3450
PAL0910,124,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A2,41.4,18.5,202,3875
PAL0910,125,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A1,35.2,15.9,186,3050
PAL0910,126,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A2,40.6,19,199,4000
PAL0910,127,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A1,38.8,17.6,191,3275
PAL0910,128,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A2,41.5,18.3,195,4300
PAL0910,129,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A1,39,17.1,191,3050
PAL0910,130,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A2,44.1,18,210,4000
PAL0910,131,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A1,38.5,17.9,190,3325
PAL0910,132,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A2,43.1,19.2,197,3500
PAL0910,133,Adelie Penguin (Pygoscelis adeliae),Dream,N76A1,36.8,18.5,193,3500
PAL0910,134,Adelie Penguin (Pygoscelis adeliae),Dream,N76A2,37.5,18.5,199,4475
PAL0910,135,Adelie Penguin (Pygoscelis adeliae),Dream,N77A1,38.1,17.6,187,3425
PAL0910,136,Adelie Penguin (Pygoscelis adeliae),Dream,N77A2,41.1,17.5,190,3900
PAL0910,137,Adelie Penguin (Pygoscelis adeliae),Dream,N78A1,35.6,17.5,191,3175
PAL0910,138,Adelie Penguin (Pygoscelis adeliae),Dream,N78A2,40.2,20.1,200,3975
PAL0910,139,Adelie Penguin (Pygoscelis adeliae),Dream,N79A1,37,16.5,185,3400
PAL0910,140,Adelie Penguin (Pygoscelis adeliae),Dream,N79A2,39.7,17.9,193,4250
PAL0910,141,Adelie Penguin (Pygoscelis adeliae),Dream,N80A1,40.2,17.1,193,3400
PAL0910,142,Adelie Penguin (Pygoscelis adeliae),Dream,N80A2,40.6,17.2,187,3475
PAL0910,143,Adelie Penguin (Pygoscelis adeliae),Dream,N81A1,32.1,15.5,188,3050
PAL0910,144,Adelie Penguin (Pygoscelis adeliae),Dream,N81A2,40.7,17,190,3725
PAL0910,145,Adelie Penguin (Pygoscelis adeliae),Dream,N82A1,37.3,16.8,192,3000
PAL0910,146,Adelie Penguin (Pygoscelis adeliae),Dream,N82A2,39,18.7,185,3650
PAL0910,147,Adelie Penguin (Pygoscelis adeliae),Dream,N83A1,39.2,18.6,190,4250
PAL0910,148,Adelie Penguin (Pygoscelis adeliae),Dream,N83A2,36.6,18.4,184,3475
PAL0910,149,Adelie Penguin (Pygoscelis adeliae),Dream,N84A1,36,17.8,195,3450
PAL0910,150,Adelie Penguin (Pygoscelis adeliae),Dream,N84A2,37.8,18.1,193,3750
PAL0910,151,Adelie Penguin (Pygoscelis adeliae),Dream,N85A1,36,17.1,187,3700
PAL0910,152,Adelie Penguin (Pygoscelis adeliae),Dream,N85A2,41.5,18.5,201,4000
PAL0708,1,Gentoo penguin (Pygoscelis papua),Biscoe,N31A1,46.1,13.2,211,4500
PAL0708,2,Gentoo penguin (Pygoscelis papua),Biscoe,N31A2,50,16.3,230,5700
PAL0708,3,Gentoo penguin (Pygoscelis papua),Biscoe,N32A1,48.7,14.1,210,4450
PAL0708,4,Gentoo penguin (Pygoscelis papua),Biscoe,N32A2,50,15.2,218,5700
PAL0708,5,Gentoo penguin (Pygoscelis papua),Biscoe,N33A1,47.6,14.5,215,5400
PAL0708,6,Gentoo penguin (Pygoscelis papua),Biscoe,N33A2,46.5,13.5,210,4550
PAL0708,7,Gentoo penguin (Pygoscelis papua),Biscoe,N34A1,45.4,14.6,211,4800
PAL0708,8,Gentoo penguin (Pygoscelis papua),Biscoe,N34A2,46.7,15.3,219,5200
PAL0708,9,Gentoo penguin (Pygoscelis papua),Biscoe,N35A1,43.3,13.4,209,4400
PAL0708,10,Gentoo penguin (Pygoscelis papua),Biscoe,N35A2,46.8,15.4,215,5150
PAL0708,11,Gentoo penguin (Pygoscelis papua),Biscoe,N36A1,40.9,13.7,214,4650
PAL0708,12,Gentoo penguin (Pygoscelis papua),Biscoe,N36A2,49,16.1,216,5550
PAL0708,13,Gentoo penguin (Pygoscelis papua),Biscoe,N37A1,45.5,13.7,214,4650
PAL0708,14,Gentoo penguin (Pygoscelis papua),Biscoe,N37A2,48.4,14.6,213,5850
PAL0708,15,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,45.8,14.6,210,4200
PAL0708,16,Gentoo penguin (Pygoscelis papua),Biscoe,N38A2,49.3,15.7,217,5850
PAL0708,17,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,42,13.5,210,4150
PAL0708,18,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,49.2,15.2,221,6300
PAL0708,19,Gentoo penguin (Pygoscelis papua),Biscoe,N40A1,46.2,14.5,209,4800
